Prueba,Campo,Resultado,Afectados,Porcentaje
Fechas inválidas/no interpretables,FECHA HECHO,0 fechas no interpretables,0,0.0
Fechas fuera del rango 2019–2025,FECHA HECHO,0 fechas fuera del rango,0,0.0
