Prueba,Campo,Resultado,Afectados,Porcentaje
Municipio/código DANE contra DIVIPOLA,Código Municipio,0 registros con código no encontrado en DIVIPOLA,0,0.0
Un municipio aparece con nombres distintos,Código Municipio + Código Municipio,0 códigos presentan más de un nombre,0,
